CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_Book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
CID-00001,Existing,49,M,0,Post-Graduate,Single,Unknown,Gold,35,3,1,2,8361.0,452,4426.872450393417,0.8460280770316229,6968,54,2.614075051059227,0.7300123742618014
CID-00002,Attrited,53,M,4,Unknown,Unknown,$120K +,Blue,31,4,3,3,7465.5,1651,4796.824024080185,2.791207083928331,3041,91,0.8331505339897457,0.5350821966425158
CID-00003,Existing,67,F,3,Graduate,Unknown,$40K - $60K,Blue,59,3,1,5,3343.0,2049,2554.8620420260795,2.9767618002256766,7111,29,2.5345657444476615,0.2582820845420154
CID-00004,Existing,54,M,0,Graduate,Married,$80K - $120K,Blue,52,3,1,4,6877.5,56,3843.259398432743,3.275072182696018,6742,37,2.787630189129727,0.6621644313377233
CID-00005,Existing,65,F,3,Doctorate,Married,$80K - $120K,Blue,49,3,0,4,8743.5,2284,5573.984890908609,3.3028833496991625,2466,67,2.7521639802622744,0.6205284211411762
CID-00006,Existing,31,M,4,High School,Married,$40K - $60K,Blue,51,2,1,3,6159.0,-95,6026.949622249753,2.4671511282286183,2054,80,2.1897451180977416,0.10779511764708642
CID-00007,Existing,44,F,0,Graduate,Single,$40K - $60K,Silver,15,6,2,2,5027.0,2148,4214.209389219841,0.7134576249142012,7610,44,3.188864949485108,0.20275306959685985
CID-00008,Attrited,36,F,3,Graduate,Married,Unknown,Gold,52,1,6,8,4264.5,1635,1643.734964636616,2.0666218920656476,3792,80,1.49684623915876,0.5703964670497262
CID-00009,Existing,48,F,2,Unknown,Married,$80K - $120K,Gold,22,5,3,2,7366.5,2070,2304.4579426221353,2.330237539484796,5378,89,2.906335590222038,0.7558385371509726
CID-00010,Existing,63,M,0,Graduate,Single,$120K +,Blue,22,3,4,6,12624.0,650,6974.4647116837095,3.374465283708205,3107,63,2.576387934772539,0.3027276857797982
